id,identifier,generation_id,evolves_from_species_id,evolution_chain_id,color_id,shape_id,habitat_id,gender_rate,capture_rate,base_happiness,is_baby,hatch_counter,has_gender_differences,growth_rate_id,forms_switchable,is_legendary,is_mythical,order,conquest_order
787,tapu-bulu,7,,411,8,4,,-1,3,50.0,0,15.0,0,1,0,1,0,787,
788,tapu-fini,7,,412,7,4,,-1,3,50.0,0,15.0,0,1,0,1,0,788,
789,cosmog,7,,413,2,1,,-1,45,0.0,0,120.0,0,1,0,1,0,789,
790,cosmoem,7,789.0,413,2,1,,-1,45,0.0,0,120.0,0,1,0,1,0,790,
791,solgaleo,7,790.0,413,9,8,,-1,45,0.0,0,120.0,0,1,0,1,0,791,
792,lunala,7,790.0,413,7,9,,-1,45,0.0,0,120.0,0,1,0,1,0,792,
800,necrozma,7,,421,1,4,,-1,255,0.0,0,120.0,0,1,0,1,0,800,
801,magearna,7,,422,4,12,,-1,3,0.0,0,120.0,0,1,0,0,1,801,
802,marshadow,7,,423,4,12,,-1,3,0.0,0,120.0,0,1,0,0,1,802,
807,zeraora,7,,427,10,12,,-1,3,0.0,0,120.0,0,1,0,0,1,807,
808,meltan,7,,428,4,1,,-1,3,0.0,0,120.0,0,1,0,0,1,808,
809,melmetal,7,808.0,429,4,12,,-1,3,0.0,0,120.0,0,1,0,0,1,809,
888,zacian,8,,467,2,8,,-1,10,0.0,0,120.0,0,1,0,1,0,888,
889,zamazenta,8,,468,8,8,,-1,10,0.0,0,120.0,0,1,0,1,0,889,
890,eternatus,8,,469,7,9,,-1,255,0.0,0,120.0,0,1,0,1,0,890,
891,kubfu,8,,470,4,6,,1,3,50.0,0,120.0,0,1,0,1,0,891,
892,urshifu,8,891.0,470,4,12,,1,3,50.0,0,120.0,0,1,0,1,0,892,
893,zarude,8,,471,5,6,,-1,3,0.0,0,120.0,0,1,0,0,1,893,
894,regieleki,8,,472,10,12,,-1,3,35.0,0,120.0,0,1,0,1,0,894,
895,regidrago,8,,473,5,12,,-1,3,35.0,0,120.0,0,1,0,1,0,895,
896,glastrier,8,,474,9,8,,-1,3,35.0,0,120.0,0,1,0,1,0,896,
897,spectrier,8,,475,1,8,,-1,3,35.0,0,120.0,0,1,0,1,0,897,
898,calyrex,8,,476,5,12,,-1,3,100.0,0,120.0,0,1,0,1,0,898,
905,enamorus,8,,477,6,4,,8,3,,0,,0,1,1,1,0,905,
1001,wo-chien,9,,529,3,2,,-1,6,0.0,0,50.0,0,1,0,1,0,996,
1002,chien-pao,9,,530,9,8,,-1,6,0.0,0,50.0,0,1,0,1,0,995,
1003,ting-lu,9,,531,3,8,,-1,6,0.0,0,50.0,0,1,0,1,0,994,
1004,chi-yu,9,,532,8,3,,-1,6,0.0,0,50.0,0,1,0,1,0,997,
1007,koraidon,9,,535,8,6,,-1,3,0.0,0,50.0,0,1,0,1,0,998,
1008,miraidon,9,,536,2,8,,-1,3,0.0,0,50.0,0,1,0,1,0,999,
1014,okidogi,9,,540,1,6,,-1,3,0.0,0,50.0,0,1,0,1,0,1016,
1015,munkidori,9,,541,1,12,,-1,3,0.0,0,50.0,0,1,0,1,0,1017,
1016,fezandipiti,9,,542,1,9,,-1,3,0.0,0,50.0,0,1,0,1,0,1018,
1017,ogerpon,9,,543,5,12,,-1,5,0.0,0,50.0,0,1,0,1,0,1019,
1024,terapagos,9,,548,2,8,,-1,255,50.0,0,5.0,0,1,0,1,0,1026,
1025,pecharunt,9,,549,7,1,,-1,3,0.0,0,20.0,0,1,0,0,1,1027,
